music is at 0x00FA, write the following to make music:

0x00	Music off
0x01	Main Theme
0x02	Underground Theme
0x03	Stage 2
0x04	Deedle-dee DEATH
0x05	Boss
0x06	Level exit fanfare
0x07	Credits
0x08	Shop march
0x09	Another Boss
0x0C	?
0x0F	Demo music

effects is at 0x00FB, write the following to make a noise

0x01	Bomb placed
0x02	Bomb explode
0x03	Item pickup
0x04	Enemy death
0x05	Item select
0x06	Bullet
0x07	? Silent
0x08	Item use / Shop buy / Bomb pickup?
0x09	Underground transistion
0x0A	Player damage
0x0B	Drowning?
0x0C	Death
0x0D	Enemy spawn noise
0x0E	Energy item use
0x0F	Rocket
0x10	Damage?
0x11	Boss 'groan'
0x12	Boss damage?
0x13	Another explosion
0x14	Pause
0x15	Small explosion
0x16	?
0x17	?
0x1D	Lightning?
0x1E	? / Shop not enough medals
0x1F	Boss damage?
0x21	Drowing ?
0x22	Intro spaceship 1
0x23	Intro blastoff!
0x24	Intro twinkling
0x25	Intro warp down
0x26	Intro 'shimmer' effect?
